系ぎて(DX),88.8,つなぎて,rintaro soma,7.0,10.5,13.8,14.7,15.0
PANDORA PARADOXXX(STD),150-225(150),ぱんどらぱらどっくす,削除,7.7,11.5,13.9,14.9,15.0
the EmpErroR(STD),240,ざえんぺらー,sasakure.UK,5.0,10.6,13.4,14.8,14.9
雷切-RAIKIRI-(STD),165,らいきりらいきり,kanone,7.0,9.3,12.8,14.6,14.8
Alea jacta est!(STD),162,あーれあやくたえすと/あれあやくたえすと,BlackY fused with WAiKURO,7.0,9.0,12.9,14.4,14.8
Schwarzschild(STD),188,しゅばるつしると/しゅゔぁるつしると,Tsukasa,7.0,9.7,12.9,14.3,14.9
QZKago Requiem(STD),257-290(257),くずかごれくいえむ,t+pazolite,7.0,10.7,13.0,14.8,14.9
ガラテアの螺旋(STD),200,がらてあのらせん,sasakure.UK,6.0,8.0,13.3,14.6,14.7
Garakuta Doll Play(STD),256,がらくたどーるぷれい,t+pazolite,6.0,9.0,13.1,14.2,14.8
Fragrance(STD),180,ふれぐらんす,Tsukasa(Arte Refact),6.0,9.0,12.7,14.2,14.6
AMAZING MIGHTYYYY!!!!(STD),185,あめーじんぐまいとりぃー,WAiKURO,7.0,9.8,13.6,14.7,14.5
ジングルベル(STD),100,じんぐるべる,SEGA Sound Unit [H.],6.0,7.0,10.0,14.3,14.2
Now or Never(DX),202,なうおあねばー,MintJam,5.0,7.0,10.5,13.5,14.1
一か罰(DX),196,いちかばつ/いちかばち,豚乙女,5.0,7.8,11.4,12.8,14.0
Blows Up Everything(DX),215,ぶろうずあっぷえぶりしんぐ/ぶろーずあっぷえぶりしんぐ,USAO,5.0,9.0,11.9,13.8,14.3
バーチャルダム　ネーション(DX),210,ばーちゃるだむねーしょん,Sampling Masters MEGA,4.0,8.0,10.8,13.6,14.4
MAXRAGE(DX),222,まっくすれいじ,EBIMAYO,5.0,7.0,11.4,13.8,14.2
FFT(STD),180,ふふと/えふえふてぃー,cybermiso,7.0,9.0,12.7,14.0,14.5
Panopticon(STD),110,ぱのぷてぃこん,cybermiso,5.0,9.0,12.9,14.4,14.3
In Chaos(STD),140,いんかおす,Hiro「Crackin’DJ」,6.0,7.6,9.7,12.5,14.8
FLOWER(STD),173,ふらわー,DJ YOSHITAKA「jubeat」より,6.0,8.3,11.9,13.9,14.2
JACKY [Remix](STD),135,じゃっきーりみっくす,「バーチャファイター」,4.0,7.0,11.1,13.7,14.0
Beat Of Mind(STD),140,びーとおぶまいんど,Hiro「Crackin’DJ」,6.0,9.0,12.7,12.5,14.2
Sun Dance(STD),102,さんだんす,Hiro「Crackin’DJ」,4.0,7.6,8.6,11.3,14.0
源平大戦絵巻テーマソング(STD),190,げんぺいたいせんえまきて－まそんぐ,新小田夢童 ＆ キラ★ロッソ,6.0,8.0,10.7,12.8,14.6
花と、雪と、ドラムンベース。(DX),180,はなとゆきとどらむべーす,kanone feat. せんざい,6.0,8.8,12.7,14.3,13.8
Revive The Rave(STD),165,りばいぶざれいぶ,void(Mournfinale),6.0,8.6,12.6,13.7,14.4
アージェントシンメトリー(STD),172,あーじぇんとしんめとりー,Sta feat.b,5.0,7.0,10.9,13.5,14.0
Dragoon(STD),175,どらぐーん,Shandy kubota,5.0,8.6,10.9,13.4,14.5
System “Z”(STD),147,しすてむぜっと/しすてむじー/しすてむずぃー,Jimmy Weckl,6.0,9.1,12.8,14.4,14.0
Death Scythe(STD),182,ですさいず/ですさいす,SHIKI,5.0,8.6,12.1,13.8,14.2
Beat of getting entangled(STD),140,びーとおぶげってぃんぐいんたんぐるど,Shoichiro Hirata,5.0,8.6,12.8,13.8,14.5
記憶、記録(STD),185,きおくきろく,LOPIT(SEGA),4.0,9.0,11.2,13.6,14.3
Dragoon(DX),175,どらぐーん,Shandy kubota,4.0,8.0,11.0,13.7
FLΛME/FRΦST(DX),174,ふれいむふろすと,FANTAGIRAFF,5.0,8.0,12.9,14.8
ATLAS RUSH(DX),156,あとらすらっしゅ,kanone,5.0,7.8,12.6,14.7
Åntinomiε(DX),242,あんちのみー,ああ…翡翠茶漬け…,6.0,9.5,12.8,14.6
宙天(DX),125,ちゅうてん,t+pazolite vs かねこちはる,6.0,8.0,13.5,14.9
雨露霜雪(DX),250,うろそうせつ/うろうろ,かねこちはる vs t+pazolite,6.0,9.0,13.5,14.7
Divide et impera!(DX),166,でぃゔぃでえといんぺら/でぃびでえといんぺら,BlackY a.k.a. WAiKURO survive,6.0,8.0,12.9,14.8
氷滅の135小節(DX),205,ひょうめつのひゃくさんじゅうごしょうせつ,大国奏音,7.0,9.6,13.4,14.8
Cryptarithm(DX),175,くりぷたりずむ,削除,6.0,8.0,13.0,14.7
ℝ∈Χ LUNATiCA(DX),230,じっすうえっくすにぞくするるなてぃか,Kai,6.0,9.0,12.0,14.8
IF:U(DX),190,いふゆー,MisoilePunch♪,6.0,8.0,12.8,14.7
渦状銀河のシンフォニエッタ(STD),238,かじょうぎんがのしんふぉにえった,山本真央樹,5.0,9.0,12.7,14.3
渦状銀河のシンフォニエッタ(DX),238,かじょうぎんがのしんふぉにえった,山本真央樹,3.0,8.5,11.8,14.6
Straight into the lights(DX),90,すたーらいといんとぅざらいつ,Cosmograph,4.0,8.0,12.5,14.8
raputa(DX),339,らぴゅた,sasakure.UK × TJ.hangneil,7.0,8.0,13.7,14.9
KHYMΞXΛ(DX),220,きめら,のらねこさい feat.ricono,6.0,8.6,12.9,14.7
Latent Kingdom(DX),201,れいてんときんぐだむ,Laur vs 大国奏音,6.0,8.0,12.8,14.9
超熊猫的周遊記（ワンダーパンダートラベラー）(DX),121-158(121),わんだーぱんだーとらべらー,FANTAGIRAFF,4.0,7.7,12.7,14.6
VERTeX (rintaro soma deconstructed remix)(DX),158,ばーてっくす/りんたろそまでぃすこんとらくとりみっくす/うぇるてくす,Hiro／rintaro soma,5.0,7.0,12.8,14.6
VeRForTe αRtE:VEiN(DX),190,ゔぇるふぉるてあーてべいん/べるふぉるてあーてべいん,orangentle,6.0,8.0,12.9,14.8
ViRTUS(DX),225,うぃるとす,Hiro,6.0,9.0,13.2,14.6
康莊大道(DX),208,ひかりにてらされるおおみち,Spiegel vs Yukino,6.0,8.0,13.2,14.7
VIIIbit Explorer(STD),188,びびっとえくすぷろーらー,Lime,6.0,8.2,12.9,14.5
VIIIbit Explorer(DX),188,びびっとえくすぷろーらー,Lime,6.0,8.5,13.0,14.7
mystique as iris(DX),172,みすてぃーくあずあいりす/みすてぃーくあずいりす,かねこちはる,5.0,9.0,12.8,14.6
World's end loneliness(DX),205,わーるずえんどろんりーねす,打打だいず,7.0,9.8,13.0,14.9
Metamorphosism(DX),144,めたもるふぉじずむ,削除,6.0,8.0,12.8,14.7
WiPE OUT MEMORIES(DX),210,わいぷあうとめもりーず,t+pazolite,6.0,8.0,12.9,14.8
チューリングの跡(DX),180,ちゅーりんぐのあと,Frums,4.0,8.0,13.5,14.8
sølips(DX),199,そりぷす,rintaro soma,6.0,8.5,13.7,14.9
GIGANTØMAKHIA(DX),190,ぎがんとまきあ,BlackYooh vs. siromaru,6.0,8.0,13.0,14.7
躯樹の墓守(DX),211,むくろじゅのはかもり,隣の庭は青い(庭師+Aoi),6.0,9.8,13.0,14.9
Yorugao(DX),182,よるがお,An & Ryunosuke Kudo,5.0,8.0,12.2,14.6
BLACK SWAN(DX),201,ぶらっくすわん,ぺのれり,6.0,8.0,12.7,14.6
